Trial,Hidden Layer Sizes,Activation,Solver,Alpha,Max Iter,Learning Rate,Early Stopping,Mean MSE
0,[np.int64(1)],[np.int64(0)],[np.int64(0)],[np.int64(3)],[np.int64(3)],[np.int64(1)],[np.int64(0)],13231338332.468037
1,[np.int64(1)],[np.int64(0)],[np.int64(1)],[np.int64(3)],[np.int64(1)],[np.int64(0)],[np.int64(1)],10665917388.93569
2,[np.int64(0)],[np.int64(0)],[np.int64(0)],[np.int64(2)],[np.int64(0)],[np.int64(0)],[np.int64(0)],10231976262.693638
3,[np.int64(0)],[np.int64(0)],[np.int64(1)],[np.int64(2)],[np.int64(1)],[np.int64(0)],[np.int64(1)],9450238179.31213
4,[np.int64(0)],[np.int64(0)],[np.int64(0)],[np.int64(1)],[np.int64(2)],[np.int64(1)],[np.int64(0)],10416294001.398739
5,[np.int64(0)],[np.int64(0)],[np.int64(1)],[np.int64(1)],[np.int64(3)],[np.int64(0)],[np.int64(1)],8792050477.21868
6,[np.int64(2)],[np.int64(0)],[np.int64(1)],[np.int64(0)],[np.int64(2)],[np.int64(0)],[np.int64(0)],9704819851.194075
7,[np.int64(2)],[np.int64(0)],[np.int64(0)],[np.int64(2)],[np.int64(0)],[np.int64(1)],[np.int64(0)],10862317702.382689
8,[np.int64(2)],[np.int64(0)],[np.int64(0)],[np.int64(0)],[np.int64(2)],[np.int64(0)],[np.int64(0)],11226447496.002462
9,[np.int64(1)],[np.int64(0)],[np.int64(1)],[np.int64(1)],[np.int64(1)],[np.int64(0)],[np.int64(1)],10659024065.571716
10,[np.int64(0)],[np.int64(0)],[np.int64(0)],[np.int64(1)],[np.int64(0)],[np.int64(1)],[np.int64(1)],9715365830.870213
11,[np.int64(1)],[np.int64(0)],[np.int64(1)],[np.int64(0)],[np.int64(3)],[np.int64(0)],[np.int64(1)],10176651591.32132
12,[np.int64(2)],[np.int64(0)],[np.int64(0)],[np.int64(2)],[np.int64(1)],[np.int64(0)],[np.int64(0)],10862317702.382689
13,[np.int64(1)],[np.int64(0)],[np.int64(1)],[np.int64(0)],[np.int64(0)],[np.int64(1)],[np.int64(1)],11418198065.775373
14,[np.int64(2)],[np.int64(0)],[np.int64(1)],[np.int64(0)],[np.int64(0)],[np.int64(0)],[np.int64(0)],10739119998.360209
15,[np.int64(2)],[np.int64(0)],[np.int64(0)],[np.int64(0)],[np.int64(3)],[np.int64(0)],[np.int64(0)],11226447496.002462
16,[np.int64(2)],[np.int64(0)],[np.int64(1)],[np.int64(3)],[np.int64(3)],[np.int64(1)],[np.int64(0)],9521283725.541836
17,[np.int64(0)],[np.int64(0)],[np.int64(1)],[np.int64(1)],[np.int64(1)],[np.int64(1)],[np.int64(1)],9404341380.238255
18,[np.int64(2)],[np.int64(0)],[np.int64(1)],[np.int64(0)],[np.int64(0)],[np.int64(0)],[np.int64(0)],10739119998.360209
19,[np.int64(2)],[np.int64(0)],[np.int64(0)],[np.int64(3)],[np.int64(1)],[np.int64(0)],[np.int64(1)],10106121238.013342
20,[np.int64(0)],[np.int64(0)],[np.int64(1)],[np.int64(1)],[np.int64(3)],[np.int64(1)],[np.int64(1)],8792050477.21868
21,[np.int64(0)],[np.int64(0)],[np.int64(1)],[np.int64(1)],[np.int64(3)],[np.int64(1)],[np.int64(1)],8792050477.21868
22,[np.int64(0)],[np.int64(0)],[np.int64(1)],[np.int64(1)],[np.int64(3)],[np.int64(1)],[np.int64(1)],8792050477.21868
23,[np.int64(0)],[np.int64(0)],[np.int64(1)],[np.int64(1)],[np.int64(3)],[np.int64(1)],[np.int64(1)],8792050477.21868
24,[np.int64(0)],[np.int64(0)],[np.int64(1)],[np.int64(1)],[np.int64(3)],[np.int64(1)],[np.int64(1)],8792050477.21868
25,[np.int64(0)],[np.int64(0)],[np.int64(1)],[np.int64(1)],[np.int64(3)],[np.int64(1)],[np.int64(1)],8792050477.21868
